H1,H3,L3,L4,H5
L2,L2,W,H3,L1
L2,L2,L1,H3,B
H2,H1,H1,H3,L1
H2,L1,L4,L1,L3
H3,H2,L2,L2,L1
H2,H3,L3,L2,L3
W,L2,L3,L3,H1
L2,H1,L3,L4,L2
H1,H2,L4,H3,L3
H2,H1,L2,L1,H1
H2,L2,L4,L2,H1
R,H2,L3,H3,L2
L1,H2,H2,L4,L2
H3,H2,L1,L4,H3
L3,L1,H2,H1,M
L2,L1,H1,L1,M
H3,L2,H3,L1,H4
L2,H1,L2,L3,H3
W,W,H4,L2,H2
H1,H3,L1,L3,W
H1,L2,H4,L1,H1
H3,H3,L1,H3,L4
H1,H2,H4,L3,L3
L4,L2,meg,L1,H1
H1,L4,H1,L3,L1
H5,L1,L3,L1,maj
L3,L3,H2,L1,W
W,L1,L4,H2,L2
L2,L3,W,H1,H3
H2,H1,L2,L4,H4
L3,L2,L2,L1,H2
W,L2,L4,L1,L4
L2,M,L4,H1,H2
L2,L2,L1,H4,H1
L3,H2,L4,M,L4
L4,W,L1,L1,L4
H1,meg,M,L4,H1
L4,L2,L4,L2,M
L2,H3,L1,W,L1
H3,L4,W,L1,L4
H2,H1,H2,H2,L4
L2,L1,L4,L1,L1
L2,L3,L2,L4,L4
L2,L4,L2,M,H2
L2,L2,H3,L2,L1
L1,H3,H1,H3,L3
L3,W,L2,H1,L2
L3,L1,H1,L1,H1
H1,H3,H1,L3,L3
L4,M,H1,L2,H1
L1,L2,L1,H3,L3
W,L4,L3,H2,L4
L3,H2,M,L1,L4
L1,L1,H1,L2,H1
H1,L2,L1,H2,L1
H1,L4,L1,L2,L2
L1,L3,L3,L2,L2
max,L4,L3,W,L4
H2,L2,H3,H1,L1
H1,L4,H1,W,L2
L4,L1,L1,H1,H1
H1,L2,W,W,H4
L2,L3,H4,L4,W
H4,L1,L4,H5,L2
L3,H2,H1,L4,H2
L4,H1,H2,L2,L2
H1,L2,H1,L2,M
H1,H2,L1,H4,L2
L2,L1,L1,L3,H1
L3,L4,W,H2,L1
H2,maj,H3,H1,L2
B,B,L2,L2,H2
L2,L1,L2,L4,H3
L3,L1,L1,L2,B
W,H4,L2,H2,L2
L4,L3,L1,L2,L1
H2,mni,L1,H1,W
H3,L2,L3,H1,L2
L1,L3,L3,L4,H4
L2,L4,H3,L3,L3
H4,L4,L2,L2,H2
H5,L1,H2,L3,H2
H2,L3,H2,L2,H5
L2,H3,H2,L1,B
H2,L3,H2,H4,L3
H3,W,L2,H2,H1
L4,H2,L2,L4,L1
L3,H3,L3,L1,L2
L3,L1,B,L1,L3
L3,L3,L1,L1,maj
L1,L3,H3,L2,M
L2,H3,L4,H1,L1
H2,L2,H1,B,H1
L1,L2,L4,L4,H1
H1,H5,W,L4,L1
L4,L2,L1,H1,L4
L2,W,L1,H3,H4
L1,H3,L3,H2,L1
H2,H1,W,W,H2
L1,L2,H2,L4,H2
H4,H4,H2,L1,W
L4,L1,H2,L3,H2
L2,L2,H2,H5,L2
H1,H1,H3,L1,L4
H1,L1,L2,H1,L1
W,W,L2,H1,L2
H1,L4,M,L4,L2
H2,L1,L1,H4,L3
L2,H1,L4,L1,L3
L4,L2,L2,H4,L1
H1,H5,maj,H3,maj
L1,H1,L2,H3,H1
L1,L3,L2,L3,L1
L4,L2,H3,B,H2
H3,L1,L1,L1,L1
L2,L4,L1,L1,L2
L3,L3,L4,H2,L3
H4,W,L4,H4,L4
L3,L1,H3,H2,L2
H2,H2,H1,L3,L3
H2,H1,H2,H1,L4
L4,W,H1,L3,L2
H2,L2,H4,L1,L3
H3,H1,H3,L4,L1
H2,L4,L4,H3,H4
H2,H2,H1,H2,L4
L3,L3,L3,H3,L2
L3,L3,L2,L1,H3
L4,L4,L4,L1,L2
L2,H1,L4,H3,L2
L1,L3,H4,W,L2
L4,L1,L4,H1,L1
L2,H2,L4,H1,H3
L2,L4,maj,H1,H1
H1,L3,H1,H5,H1
H3,L2,H3,H1,L4
W,L4,H1,L4,L1
H1,L4,L3,L4,L3
L3,L2,L4,L1,L4
M,H2,H2,L4,H1
L3,L3,L2,H2,H1
H1,H2,L1,L2,maj
H3,L3,H3,L1,L2
L1,L4,L4,L1,L4
L2,H5,L4,L3,L1
L4,H4,L4,H1,L1
H2,L4,L1,H1,L3
H3,L1,L1,H1,L4
L4,H2,L1,L2,H2
H1,L4,L1,H2,H1
H4,L2,H1,L3,L1
L3,L4,L3,H3,L4
L2,L3,L1,L3,H2
L2,W,L3,L2,L2
H3,L4,L1,L3,L3
L1,L1,L2,M,L4
L1,H3,L1,L3,L2
L2,W,L4,L4,L4
H4,L1,H3,L1,L4
L3,B,L4,L2,L4
L3,L4,L1,L3,L4
L2,L1,W,L2,L4
L2,L4,L1,L4,L3
L1,H1,L4,L2,H1
L4,L2,H1,L1,L1
