L4,L4,H1,L4,H1
H2,W,L1,B,W
H2,H3,L1,H2,L2
L4,W,L4,L2,H1
H3,L1,max,L3,L2
H3,H1,L2,H2,L4
H5,L1,H3,L4,L4
H2,L3,L3,L3,H2
L3,L2,H1,L4,H3
H1,H4,H3,L4,L1
H1,L3,L2,L2,H1
L3,H5,M,H3,L3
L4,L4,L2,L3,W
L4,L1,L1,W,L3
L1,H4,L2,L4,L4
L1,M,M,L3,L1
L4,L1,L4,L2,H1
L3,H1,H4,H2,H5
H1,L3,L3,M,H1
meg,H2,L1,L4,H1
H4,H1,H2,L1,L4
W,L2,H2,L1,H3
L1,L3,L2,H2,L3
H1,L4,L3,L1,L2
H1,L2,L2,L2,H2
H2,L1,H1,L3,H3
H3,L1,L4,L2,W
L1,M,W,H2,M
H2,L3,maj,L3,L1
L1,H1,L3,L2,H1
L1,H3,L3,L2,W
H1,L3,H2,L3,L1
L3,L3,L2,L2,L3
L2,H2,H4,L3,L1
L4,H1,L3,H1,L4
L2,L2,L3,L2,W
L2,W,L1,W,M
L2,M,H2,W,L2
L4,H1,L4,L2,L1
L1,H1,L1,L1,H1
L4,L1,L3,W,L1
L4,L2,L1,L2,L2
L1,W,M,H4,L1
H2,L2,H2,H1,L3
H2,H4,L1,H3,L3
L4,L1,L3,L3,L4
L2,H1,L3,H2,L2
L1,L4,L2,H2,L3
L1,L4,L1,H2,B
H3,L1,H1,L2,L3
L2,L3,L3,W,L2
H2,L4,H1,L2,H1
H2,H1,L4,L2,H3
W,L3,L2,L4,L3
L4,L3,L3,H4,L1
H4,L3,H3,L4,H5
L4,L1,L4,L2,H1
L3,L2,L3,L2,H3
L1,B,L1,H3,L2
L2,H3,L1,L3,M
L2,H1,B,L1,L2
H2,L1,H1,L2,H1
H4,L1,L1,L3,H4
W,H1,L3,L4,L2
H1,H4,L4,H1,L4
L1,H3,L1,L3,L1
L2,H3,L2,W,L2
L3,H2,L3,H1,M
H4,H2,H3,L4,L2
L2,L4,W,L3,H2
H4,H2,L4,L2,W
L3,L2,L3,H4,L3
H2,L3,L4,M,L2
L1,H3,H1,L4,L1
L2,L4,L3,L3,L2
M,L1,B,L3,H3
L1,H2,W,M,H1
L1,L2,M,L1,L4
L4,L1,L3,H2,L3
L2,L3,L2,H3,L2
H4,L2,L1,H3,max
H4,L1,H4,L1,M
L1,L3,L4,L1,L1
H4,L1,L2,H3,L2
H2,L3,H1,H1,L4
L2,H2,L2,H4,H2
L2,L4,L1,L1,L3
W,L4,H1,meg,H1
L3,L4,H1,B,W
H2,L1,L4,L1,L4
W,M,L1,H5,L3
W,L2,L2,L1,L3
L2,L1,L1,H5,L2
L1,L1,L3,H2,H5
H2,L3,H2,M,L2
L1,L2,L2,H2,H2
L3,L4,H4,L2,L3
L2,L2,H3,H1,H4
L2,L3,L2,H2,L4
L3,L1,H2,H4,L2
meg,L2,L1,L2,L1
L4,L4,L4,H2,B
H2,L3,L3,H1,W
H3,H3,H3,L3,H1
L1,H3,L3,L3,L2
L1,L2,W,H4,W
L2,L2,L2,L3,L4
L4,H1,L3,H5,M
L3,L1,L2,L3,H3
L1,B,L4,L2,L1
M,H3,L4,L3,L3
L1,L4,L4,L2,W
H2,L2,W,H3,M
L4,L3,L3,H1,H2
H1,L4,L1,L3,L4
L1,L3,M,L4,H3
L4,H4,W,H4,L2
H1,L1,H2,L2,H1
L1,L3,H3,L3,H2
L1,L3,H5,L2,L1
H2,L2,L1,L1,H4
L4,H1,H2,H2,L4
H1,L4,M,M,L3
L3,L3,L1,L2,H4
L3,L2,L2,L1,L3
L1,L4,L1,H1,W
H3,M,H1,H3,L3
L1,W,L2,L4,L2
L4,H1,L4,H1,L2
L1,H1,L3,H2,H1
H1,H3,L1,W,H1
L2,M,H2,L4,L2
W,M,L3,L1,L4
L1,B,L1,L4,H5
H3,L2,W,L2,L1
L1,H5,L1,mni,L4
L2,L4,L1,W,L1
L2,H1,W,L1,L3
H2,B,mni,H1,L3
L3,L4,L4,L1,H4
L4,L3,L2,L4,B
M,H4,R,L4,L1
L1,H3,W,L4,L2
H1,H5,H5,H2,L4
H1,H2,L3,B,L2
L2,L2,L2,L4,H3
M,W,L1,L4,L4
L4,L3,H4,L1,H1
L1,L2,H1,H3,L1
L1,L1,H1,H3,H1
H2,H1,L3,L2,L2
W,H3,L2,L1,H4
L2,L4,L2,L2,L3
L3,L4,W,H3,L4
L2,H1,H1,H2,L1
L3,H2,L3,L3,B
W,L1,H2,M,H4
L1,L3,L2,L4,mni
L4,B,L3,H2,L3
H2,W,H2,L4,H1
L3,B,L2,L1,L3
H3,H1,R,H4,L4
H3,L1,L3,W,L3
H2,L1,H2,L2,H1
L1,L2,W,H1,L1
H1,H1,L4,L2,L3
H3,L1,H3,H1,L3
L2,L2,L4,L3,L4
L2,L2,H2,H1,L2
L1,L3,L2,meg,M
L4,L2,B,L3,L3
W,L1,H2,H1,L4
L3,L4,H3,L2,L2
L3,H2,L3,H1,L4
L4,L3,L2,L4,H2
L2,M,H1,L2,H1
L3,L2,L1,H4,H2
L1,L1,L3,M,H3
L4,L4,L2,L3,B
L4,L1,H3,L2,M
M,B,meg,L4,H2
H3,H3,L4,L2,W
L3,H1,H1,H4,L3
H1,L2,W,L1,H1
L2,L2,L1,H1,L3
L3,L1,L1,H5,L4
L1,L3,L1,L1,L1
L2,L4,H1,H3,L3
L4,L1,H1,L4,L1
H2,L1,H1,L4,B
L2,L2,L1,L4,H1
H2,H1,H2,L1,L3
L1,M,M,L4,M
H1,L3,L4,M,L2
H4,W,L3,H3,L2
H4,H5,L4,L2,M
L1,L2,H4,L1,L2
H2,L1,H1,H3,L2
H1,M,L1,L1,H5
L3,H1,L4,L4,L2
L2,L1,L3,L3,L1
H2,L2,L4,L3,M
M,H1,L1,L4,M
L1,L3,L3,H2,L3
L1,L1,L3,L2,H3
H1,L1,L1,L1,L1
H1,H1,L3,L4,L2
L1,L2,L1,M,L1
H4,L3,L4,L1,H3
L1,L3,L4,L2,L1
H1,H4,H2,L4,W
H2,H3,L1,L2,H4
L4,L1,L3,L1,L1
W,L3,L4,H4,H2
L4,L1,L2,L1,L4
W,L4,H3,H2,W
L4,L1,L2,H5,H2
L1,L4,L1,L2,L4
L1,W,H2,max,mni
M,R,H1,L3,L2
L3,L1,L4,H2,W
W,L4,H2,L2,L2
H1,L4,H5,H5,H4
L3,H1,L3,L1,L2
H1,H3,L1,M,maj
L2,H3,L4,B,H1
L1,H5,L3,L1,H4
L1,B,L1,L1,L1
L1,L4,W,M,L2
H4,L4,L4,L1,H2
W,H2,L2,L2,L2
L1,L3,L2,H2,L3
L3,H3,L1,H1,W
L1,L3,H3,L4,H4
L3,L2,L2,H1,L2
L3,L1,L3,L3,L3
H1,L1,L4,M,L3
L2,H2,L4,L3,maj
L2,L1,L3,L1,L2
L3,L1,M,L4,max
L2,L3,L1,R,L4
H3,L1,H1,L2,H3
H2,L2,H2,L1,L2
R,H2,L4,L1,H3
L2,L3,L1,L4,L1
H3,H1,H1,M,H4
L2,L4,L1,L2,H1
L3,H1,H2,H5,L2
H3,H3,L2,H2,M
L4,M,H2,L2,H3
L3,L1,L2,H1,L3
L4,H4,L3,L3,L3
L1,L4,L3,H1,H1
W,meg,L2,L1,mni
H3,L1,L4,L2,L1
H1,W,H1,L1,L4
H4,L3,L4,H1,L1
L4,L1,L2,H3,H1
H2,L4,L1,L1,L2
H2,L2,L1,L2,L2
L2,L1,H1,H4,L2
H3,L1,L2,H4,W
L2,maj,L1,L2,L2
L2,H3,H5,L3,L1
H3,W,M,H2,L3
L2,H1,L3,R,H3
L2,L3,H4,H5,L2
H1,H5,L2,M,L1
L4,L2,L1,W,H1
L2,H5,L1,L4,L3
M,L3,H4,H2,L2
L3,L3,H2,L1,L4
H2,H1,L4,L2,L3
L1,L2,L1,L4,maj
H1,H4,L1,L2,H1
M,M,H1,L4,H1
L3,H2,L1,H2,L4
L4,L1,H2,H1,L4
L4,L3,L2,L3,L3
L3,H3,L3,H1,L2
L2,L2,L3,H2,L2
L4,H4,H4,L3,L4
H1,L1,H2,L2,L1
L2,L2,L2,R,L1
H1,W,L1,H2,W
H1,R,H1,L4,L1
R,L1,L2,L3,L3
L3,H3,H5,L4,L1
L1,L4,L2,L1,L2
L3,L4,L1,L1,L2
L2,L3,L2,H1,L1
L1,H3,L2,L1,H3
L4,L3,L4,L2,L3
H4,H1,L1,L3,L3
L4,M,W,H1,L4
L2,L2,L1,L1,L4
M,L3,L4,L3,L4
